Id,ParentId,Title,CombinedTitle
6628,1930,"ANGLA-1MA EN (juin 2006), texte connu.pdf","ESC/2006/A/ANGLA-1MA EN (juin 2006), texte connu.pdf"
6629,1930,"ANGLA-1MA EN (juin 2006), texte inconnu.pdf","ESC/2006/A/ANGLA-1MA EN (juin 2006), texte inconnu.pdf"
6630,1930,"ANGLA-1MA EN (repêchage 2006), texte connu.pdf","ESC/2006/A/ANGLA-1MA EN (repêchage 2006), texte connu.pdf"
6631,1930,ECOGEN - 1ABC (juin 2006).pdf,ESC/2006/A/ECOGEN - 1ABC (juin 2006).pdf
6632,1930,ECOGEN - 1ABC (septembre 2006).pdf,ESC/2006/A/ECOGEN - 1ABC (septembre 2006).pdf
6633,1930,"FRANC-1CA FR (juin 2006), analyse texte inconnu.pdf","ESC/2006/A/FRANC-1CA FR (juin 2006), analyse texte inconnu.pdf"
6634,1930,"FRANC-1CA FR (juin 2006), dissertation.pdf","ESC/2006/A/FRANC-1CA FR (juin 2006), dissertation.pdf"
6635,1930,"FRANC-1CA FR (repêchage 2006), dissertation.pdf","ESC/2006/A/FRANC-1CA FR (repêchage 2006), dissertation.pdf"
6636,1930,"FRANC-1MA FR (juin 2006), analyse texte inconnu.pdf","ESC/2006/A/FRANC-1MA FR (juin 2006), analyse texte inconnu.pdf"
6637,1930,"FRANC-1MA FR (juin 2006), dissertation.pdf","ESC/2006/A/FRANC-1MA FR (juin 2006), dissertation.pdf"
6638,1930,"FRANC-1MA FR (repêchage 2006), dissertation.pdf","ESC/2006/A/FRANC-1MA FR (repêchage 2006), dissertation.pdf"
6639,1930,HISTO-1CA FR (juin 2006).pdf,ESC/2006/A/HISTO-1CA FR (juin 2006).pdf
6640,1930,HISTO-1CA FR (repêchage 2006).pdf,ESC/2006/A/HISTO-1CA FR (repêchage 2006).pdf
6641,1930,HISTO-1MA FR (juin 2006).pdf,ESC/2006/A/HISTO-1MA FR (juin 2006).pdf
6642,1930,HISTO-1MA FR (repêchage 2006).pdf,ESC/2006/A/HISTO-1MA FR (repêchage 2006).pdf
6643,1930,OESPA-1CA ES (juin 2006).pdf,ESC/2006/A/OESPA-1CA ES (juin 2006).pdf
6644,1930,OESPA-1MA ES (juin 2006).pdf,ESC/2006/A/OESPA-1MA ES (juin 2006).pdf
6645,1930,OITAL-1CA IT (juin 2006).pdf,ESC/2006/A/OITAL-1CA IT (juin 2006).pdf
6646,1930,OITAL-1MA IT (juin 2006).pdf,ESC/2006/A/OITAL-1MA IT (juin 2006).pdf
6647,1930,"PHILO-1CA FR,DE (juin 2006).pdf","ESC/2006/A/PHILO-1CA FR,DE (juin 2006).pdf"
6648,1930,"PHILO-1CA FR,DE (repêchage 2006).pdf","ESC/2006/A/PHILO-1CA FR,DE (repêchage 2006).pdf"
6649,1930,"PHILO-1MA FR,DE (juin 2006).pdf","ESC/2006/A/PHILO-1MA FR,DE (juin 2006).pdf"
6650,1930,"PHILO-1MA FR,DE (repêchage 2006).pdf","ESC/2006/A/PHILO-1MA FR,DE (repêchage 2006).pdf"
1931,1929,B,ESC/2006/B
6600,1931,ALLEM-1CB DE (juin 2006).pdf,ESC/2006/B/ALLEM-1CB DE (juin 2006).pdf
6601,1931,ALLEM-1MB DE (juin 2006).pdf,ESC/2006/B/ALLEM-1MB DE (juin 2006).pdf
6602,1931,CHIMIE - 1BC (juin 2006).pdf,ESC/2006/B/CHIMIE - 1BC (juin 2006).pdf
6603,1931,CHIMIE - 1BC (septembre 2006).pdf,ESC/2006/B/CHIMIE - 1BC (septembre 2006).pdf
6604,1931,ECOGEN - 1ABC (juin 2006).pdf,ESC/2006/B/ECOGEN - 1ABC (juin 2006).pdf
6605,1931,ECOGEN - 1ABC (septembre 2006).pdf,ESC/2006/B/ECOGEN - 1ABC (septembre 2006).pdf
6606,1931,FRANC-1CB FR (juin 2006).pdf,ESC/2006/B/FRANC-1CB FR (juin 2006).pdf
6607,1931,FRANC-1MB FR (juin 2006).pdf,ESC/2006/B/FRANC-1MB FR (juin 2006).pdf
6608,1931,HISTO-1CB FR (juin 2006).pdf,ESC/2006/B/HISTO-1CB FR (juin 2006).pdf
6609,1931,HISTO-1CB FR (repêchage 2006).pdf,ESC/2006/B/HISTO-1CB FR (repêchage 2006).pdf
6610,1931,HISTO-1MB FR (juin 2006).pdf,ESC/2006/B/HISTO-1MB FR (juin 2006).pdf
6611,1931,HISTO-1MB FR (repechage 2006).pdf,ESC/2006/B/HISTO-1MB FR (repechage 2006).pdf
6612,1931,LATIN-1CB FR (juin 2006).pdf,ESC/2006/B/LATIN-1CB FR (juin 2006).pdf
6613,1931,MATHEI - 1B (juin 2006).pdf,ESC/2006/B/MATHEI - 1B (juin 2006).pdf
6614,1931,MATHEI - 1B (septembre 2006).pdf,ESC/2006/B/MATHEI - 1B (septembre 2006).pdf
6615,1931,MATHEII - 1B (juin 2006).pdf,ESC/2006/B/MATHEII - 1B (juin 2006).pdf
6616,1931,MATHEII - 1B (septembre 2006).pdf,ESC/2006/B/MATHEII - 1B (septembre 2006).pdf
6617,1931,"PHILO-1CB DE,FR (juin 2006).pdf","ESC/2006/B/PHILO-1CB DE,FR (juin 2006).pdf"
6618,1931,"PHILO-1MB DE,FR (juin 2006).pdf","ESC/2006/B/PHILO-1MB DE,FR (juin 2006).pdf"
6619,1931,"PHILO-1MB FR,DE (repechage 2006).pdf","ESC/2006/B/PHILO-1MB FR,DE (repechage 2006).pdf"
6620,1931,"Physique B,C juin.pdf","ESC/2006/B/Physique B,C juin.pdf"
1932,1929,C,ESC/2006/C
6578,1932,160846-MATHEII - 1CD (septembre 2006).pdf,ESC/2006/C/160846-MATHEII - 1CD (septembre 2006).pdf
6579,1932,ALLEM-1CC DE (juin 2006).pdf,ESC/2006/C/ALLEM-1CC DE (juin 2006).pdf
6580,1932,ALLEM-1MC DE (juin 2006).pdf,ESC/2006/C/ALLEM-1MC DE (juin 2006).pdf
6581,1932,BIOLO - 1C (septembre 2006).pdf,ESC/2006/C/BIOLO - 1C (septembre 2006).pdf
6582,1932,CHIMIE - 1BC (juin 2006).pdf,ESC/2006/C/CHIMIE - 1BC (juin 2006).pdf
6583,1932,CHIMIE - 1BC (septembre 2006).pdf,ESC/2006/C/CHIMIE - 1BC (septembre 2006).pdf
6584,1932,ECOGEN - 1ABC (juin 2006).pdf,ESC/2006/C/ECOGEN - 1ABC (juin 2006).pdf
6585,1932,ECOGEN - 1ABC (septembre 2006).pdf,ESC/2006/C/ECOGEN - 1ABC (septembre 2006).pdf
6586,1932,FRANC-1CC FR (juin 2006).pdf,ESC/2006/C/FRANC-1CC FR (juin 2006).pdf
6587,1932,FRANC-1MC FR (juin 2006).pdf,ESC/2006/C/FRANC-1MC FR (juin 2006).pdf
6588,1932,HISTO-1CC FR (juin 2006).pdf,ESC/2006/C/HISTO-1CC FR (juin 2006).pdf
6589,1932,HISTO-1CC FR (repêchage 2006).pdf,ESC/2006/C/HISTO-1CC FR (repêchage 2006).pdf
6590,1932,HISTO-1MC FR (juin 2006).pdf,ESC/2006/C/HISTO-1MC FR (juin 2006).pdf
6591,1932,HISTO-1MC FR (repechage 2006).pdf,ESC/2006/C/HISTO-1MC FR (repechage 2006).pdf
6592,1932,LATIN-1CC FR (juin 2006).pdf,ESC/2006/C/LATIN-1CC FR (juin 2006).pdf
6593,1932,MATHEI - 1C (juin 2006).pdf,ESC/2006/C/MATHEI - 1C (juin 2006).pdf
