Zirkumflex;accent circonflexe
siebzehn;dix-sept
Standbild;statue
Angelleine;ligne
Bienenkorb;ruche
Umschweif;détour
lieb;cher
Modell;modèle
unaufhörlich;continuellement
Kuß;baiser
Osten;est
Chrysanthemum;chrysanthème
bei;près de
schwarz;noir
Idee;idée
Erdapfel;pomme de terre
gar nichts;rien
allerhand;toute espèce de
kubanisch;cubain
Terminus;terme
Kapitel;chapitre
erbieten;faire offrande
fein;délicat
aufbrechen;rompre
Häresie;hérésie
derart;également
Quantität;quantité
Treffen;coup
zücken;élever
vorziehen;aimer mieux
leihen;emprunter
Oktober;octobre
Heidekraut;bruyère
Sterz;queue
ersetzen;compenser
fade;banal
kommen;venir
Zauberei treiben;ensorceler
Weidmann;chasseur
sperren;boycotter
Coupon;coupon
Herberge;auberge
liederlich leben;se déboucher
Baumstamm;tronc
knarren;craquer
Salär;salaire
Stelle;lieu
Meißel;ciseau
Hammer;marteau
daß;afin que
nachsinnen;méditer
Rat;conseil
Zitat;citation
Rendezvous;rendez-vous
rülpsen;roter
zutreffend;exact
präsidieren;présider
mangeln;manquer
Widersacher;adversaire
morgen;demain
Vokabel;mot
Kehle;gorge
Laken;drap
gedrängt;dense
Weide;saule
privat;privé
Prognose;prognostic
riskieren;risquer
Diskussion;discussion
stark;fort
imstande;capable
Biskuit;biscuit
angeben;montrer
Krise;crise
Braten;rôti
Leibesfrucht;embryon
Hai;requin
Mittagessen;dîner
zugehören;appartenir
Hämorrhoiden;hémorrhoïdes
zumeist;tout au plus
Epidemie;épidémie
wacker;brave
Miesmuschel;moule
Musiker;musicien
liebeln;voltiger
Flamme;flamme
hundert;cent
Mandel;amande
andeuten;signaler
sich bemühen;se démener
brennen;brûler
erhaben;haut
Besorgnis;soin
Beete;betterave
Redner;orateur
bleich;pâle
halten;tenir
besitzen;avoir
gefährlich;dangereux
Sparren;comble
Stockwerk;étage
erstens;en premier lieu
Unrecht;tort
Lende;lombes
entsprechend;adéquate
fanatisch;fanatique
reparieren;réparer
Echo;écho
entzünden;allumer
Verwandter;parent
terrestrisch;terrestre
Flur;corridoir
Student;étudiant
wiedersehen;revoir
sitzen;être assis
umkommen;périr
Käfig;cage
streng;sévère
heute;aujourd'hui
Propaganda;propagande
Pulli;chandail
Nacken;nuque
großes Maßlieb;marguerite
Glocke;cloche
Geleit;escorte
vollstrecken;exécuter
zwei;deux
beugen;ployer
